编号,发送时间,来源会话,消息ID,原文件名,仓内相对路径,字节数,SHA256,代码PY文件数,代码物理行数,计数口径,处置
A01,2026-07-25 14:56,指定群,om_x100b6971ae3df0a0b2589a0a85b4075,kth-irl-evaluator-v0.1.4-internal-preview.zip,.local/reference/originals/20260725-v0.1.4-preview/kth-irl-evaluator-v0.1.4-internal-preview.zip,511934,332ecf1a256f4c12a50160604775f1917cc13c1ee35437f4879b4871eb63a58c,66,48944,wheel内kth_irl/*.py,原件只读参考；不进入Git，不作为当前运行依赖
A02,2026-07-29 16:12,指定群,om_x100b69af11748ca0b1af46bab5b844f,ceo-decision-memo.zh-CN.md,.local/reference/support/20260729-explicitly-rejected-report/ceo-decision-memo.zh-CN.md,19367,96887a39c1cefecd038b8977da69005d811fb5380bed1089b6975f7b4f7aa610,,,非代码规模统计,原件只读参考；不进入Git，不作为当前运行依赖
A03,2026-07-29 18:59,指定群,om_x100b69a981a038bcb2cb321a7e327a9,README.zh-CN.md,.local/reference/support/20260729-operation/README.zh-CN.md,2184,6860e6e80e4d47e74ccdfe7048edf0d1333f3729f54bb1968d16342b32fecf5f,,,非代码规模统计,原件只读参考；不进入Git，不作为当前运行依赖
A04,2026-07-31 14:31,指定群,om_x100b69f05c244438b499a512bddff73,kth-irl-evaluator-v0.1.5-internal-preview.zip,.local/reference/originals/20260731-v0.1.5-preview/kth-irl-evaluator-v0.1.5-internal-preview.zip,881944,4c47c5c155c359cd3be2e48054550e8d2acf0689eca2fc9566a1ec999c057f76,73,53669,wheel内kth_irl/*.py,原件只读参考；不进入Git，不作为当前运行依赖
A05,2026-08-01 12:25,指定群,om_x100b69e31d01e4acb206bddbac7f25a,KTH-IRL-v0.1.4-to-v0.1.5-diff-for-IT.zh-CN.md,.local/reference/support/20260801-version-diff/KTH-IRL-v0.1.4-to-v0.1.5-diff-for-IT.zh-CN.md,11393,17f3b4656e98c7225335c005cfb21d229092da8d763e519903f5c6faf89d14e3,,,非代码规模统计,原件只读参考；不进入Git，不作为当前运行依赖
A06,2026-08-02 10:16,指定群,om_x100b69dec912ecacb03c68628e495f2,kth-irl-v0.1.5-it-development-handoff.zh-CN.md,.local/reference/support/20260802-handoff/kth-irl-v0.1.5-it-development-handoff.zh-CN.md,3619,91401b312e462181e8f18f0db7a6b26b73b2be749dd57e2e7c9216abe6a04740,,,非代码规模统计,原件只读参考；不进入Git，不作为当前运行依赖
A07,2026-08-02 10:16,指定群,om_x100b69dec92ec0a8b202a77a3dedce1,kth-irl-three-handoff-comparison.zh-CN.md,.local/reference/support/20260802-handoff/kth-irl-three-handoff-comparison.zh-CN.md,4034,2fd9a17ef28cda658b22b6eef9b4b51d8594691070763c139d151b035eaf77ed,,,非代码规模统计,原件只读参考；不进入Git，不作为当前运行依赖
A08,2026-08-02 10:16,指定群,om_x100b69dec6c9a4a4b106c9697a0e1a1,kth-irl-evaluator-v0.1.5-it-development.zip,.local/reference/originals/20260802-v0.1.5-development/kth-irl-evaluator-v0.1.5-it-development.zip,3159216,2c4e331aaa98df6b519d391b7f112c6edf22e8be05c0f6975a26ece3fafa5b49,74,56391,源码src/kth_irl/*.py,原件只读参考；不进入Git，不作为当前运行依赖
A09,2026-08-08 15:30,指定群,om_x100b6859fddfd4a8b1fb9d7709255b3,kth-irl-v0.1.5-full-workflow-and-hitl.zh-CN等3个文件.zip,.local/reference/support/20260808-handoff/kth-irl-v0.1.5-full-workflow-and-hitl.zh-CN等3个文件.zip,35197,c56193c2659cef932088c4df9f9d12fce28a1452523d7a705edddea2d058fff3,,,非代码规模统计,原件只读参考；不进入Git，不作为当前运行依赖
A10,2026-08-08 15:30,指定群,om_x100b6859fde5d0a8b3ee3e0d16cb4ab,kth-irl-evaluator-v0.1.5-it-development.zip,.local/reference/originals/20260808-v0.1.5-development/kth-irl-evaluator-v0.1.5-it-development.zip,3427746,0a76ca076c30ff6b430fe6c226ee7ae528e2c0e803ce06e206afbe2e443718ae,80,70565,源码src/kth_irl/*.py,原件只读参考；不进入Git，不作为当前运行依赖
A11,2026-08-10 10:28,指定群,om_x100b68a73b0deca8b18057214352255,investment-analyst-report.zh-CN.md,.local/reference/support/20260810-report-reference/investment-analyst-report.zh-CN.md,2873081,1e4cb55e163210c02a1f60ff876737802bc7dd34de41d0f8828c56a956649f03,,,非代码规模统计,原件只读参考；不进入Git，不作为当前运行依赖
A12,2026-08-28 11:28,指定群,om_x100b66244b8e70a4b2a801ff1ad45ad,kth-irl-evaluator-v0.1.5-internal-preview.zip.sha256,.local/reference/originals/20260828-v0.1.5-preview/kth-irl-evaluator-v0.1.5-internal-preview.zip.sha256,112,ba3fd3fbdb5b097b0ed7335b93ecf243e31915fdbff37dace4a3b07530c40010,,,非代码规模统计,原件只读参考；不进入Git，不作为当前运行依赖
A13,2026-08-28 11:28,指定群,om_x100b66244b9014b8b26a53207e391b1,kth-irl-evaluator-v0.1.5-it-development.zip,.local/reference/originals/20260828-v0.1.5-development/kth-irl-evaluator-v0.1.5-it-development.zip,3743734,8d468c9515482bdc95c03e1d525bbd1566e300060f919273ee44fa21a57a32b5,93,86413,源码src/kth_irl/*.py,原件只读参考；不进入Git，不作为当前运行依赖
A14,2026-08-28 11:28,指定群,om_x100b66244ba5ece0b1b6e0e8b2bdb58,kth-irl-evaluator-v0.1.5-internal-preview.zip,.local/reference/originals/20260828-v0.1.5-preview/kth-irl-evaluator-v0.1.5-internal-preview.zip,1604495,1b210861599cc90e214ba999d9a5668c6b461d573ff2b478b2f3940d8e9d171e,94,86557,wheel内kth_irl/*.py,原件只读参考；不进入Git，不作为当前运行依赖
A15,2026-09-01 13:24,指定私聊,om_x100b6652592084a0b36efe7f3b221dc,KTH-IRL-v0.1.5-IT复盘与成功日志参考包-20260901.zip,.local/reference/support/20260901-success-reference/KTH-IRL-v0.1.5-IT复盘与成功日志参考包-20260901.zip,53653,7bfaf196374e42bb30969608e01f783c3f20be32599cf343612a6a6c8bca985a,,,非代码规模统计,原件只读参考；不进入Git，不作为当前运行依赖
A16,2026-07-29 19:25,指定群,om_x100b69aa7c59e0a0b39ef9423bfb3b9,KTH-IRL-v0.1.4-产品运行与调度说明.md,.local/reference/support/20260729-operation/KTH-IRL-v0.1.4-产品运行与调度说明.md,30319,483fae7d3a8be2e61ce513ef958a3099ac53f00689d35eeaba160d48f716b5ce,,,非代码规模统计,原件只读参考；不进入Git，不作为当前运行依赖
A17,2026-07-15 19:22,指定群,om_x100b6a4296dd60a4b3cc203f13386bc,舜宇世界模型一期_CEO规划汇报_v3.md,.local/reference/support/initial-context/舜宇世界模型一期_CEO规划汇报_v3.md,21365,877365ab496fbe19ef35012bde48a6d5d9aec95426f522f86d18ec47bdbace9d,,,测试材料/方法/背景；非代码统计,原件保留，角色见测试链路；未批准业务结论或外发
A18,2026-06-02 15:36,指定群,om_x100b6edcced9c4a4b16c40724ae7053,operational-efficiency-ai-report-meeting-roadmap.md,.local/reference/support/initial-context/operational-efficiency-ai-report-meeting-roadmap.md,23100,e8fd6f7413056d27e06116630d46c1a84a2ce4c0a9dbcf4737feaf1a290c08e9,,,测试材料/方法/背景；非代码统计,原件保留，角色见测试链路；未批准业务结论或外发
A19,2026-07-31 14:31,指定群,om_x100b69f05c24dca8b4c161e7654530c,KTH-Innovation-Readiness-Level_Compiled_F_print.pdf,.local/reference/support/20260731-method/KTH-Innovation-Readiness-Level_Compiled_F_print.pdf,771187,c7deea75809751c29f2e8d085ec627558b1ec4fe50840ed4ec872f776bca3c47,,,测试材料/方法/背景；非代码统计,原件保留，角色见测试链路；未批准业务结论或外发
