来源,时间,消息ID,资源,本地路径,处理结果
group-history-01,2026-06-02 15:36,om_x100b6edcced9c4a4b16c40724ae7053,operational-efficiency-ai-report-meeting-roadmap.md,.local/reference/support/initial-context/operational-efficiency-ai-report-meeting-roadmap.md,已下载并校验；原文/成员读取范围见补充报告
group-history-01,2026-07-14 18:50,om_x100b6a550b7af138b16594cdcd36078,<p>https://e0fwpv9vf0.feishu.cn/wiki/IeJhwf7vWiD5j3k6EVrcUtE6nky?from=auth_notice&hash=acdf4394b2d53d7088b2c0618af17aec</p>,,其他群内背景链接；未读取正文，不作为KTH需求依据
group-history-01,2026-07-15 19:22,om_x100b6a4296dd60a4b3cc203f13386bc,舜宇世界模型一期_CEO规划汇报_v3.md,.local/reference/support/initial-context/舜宇世界模型一期_CEO规划汇报_v3.md,已下载并校验；原文/成员读取范围见补充报告
group-history-01,2026-07-16 15:46,om_x100b6abc8b1d64b0b2687f0bdab85f7,https://e0fwpv9vf0.feishu.cn/wiki/WYXXw6fzIiiNJAkYLRJcUzAmnxf?from=from_copylink,,其他群内背景链接；未读取正文，不作为KTH需求依据
group-history-01,2026-07-17 10:06,om_x100b6aacaf5000b8b14927eaee43e0f,早期KTH路线图,.local/reference/support/20260717-original-requirements/july17-roadmap-direct.md,全文已读取；当前可见revision快照，非声称历史字节不变
group-history-01,2026-07-17 10:06,om_x100b6aacacaed8a4b2699432c3bccfc,早期KTH PRD,.local/reference/support/20260717-original-requirements/july17-doc-b.md,全文已读取；当前可见revision快照，非声称历史字节不变
group-history-01,2026-07-25 14:56,om_x100b6971ae3df0a0b2589a0a85b4075,kth-irl-evaluator-v0.1.4-internal-preview.zip,.local/reference/originals/20260725-v0.1.4-preview/kth-irl-evaluator-v0.1.4-internal-preview.zip,已下载并校验；原文/成员读取范围见补充报告
group-history-01,2026-07-29 10:45,om_x100b69a2dd0b40a8b20be004f63e216,https://e0fwpv9vf0.feishu.cn/wiki/WYXXw6fzIiiNJAkYLRJcUzAmnxf?from=from_copylink,,其他群内背景链接；未读取正文，不作为KTH需求依据
group-history-01,2026-07-29 15:33,om_x100b69ae826488b4b039b6a5f9f385d,https://kthinnovationreadinesslevel.com/,,KTH方法官网引用；已下载群内具名方法资料，不新增公网研究
group-history-01,2026-07-29 16:12,om_x100b69af11748ca0b1af46bab5b844f,ceo-decision-memo.zh-CN.md,.local/reference/support/20260729-explicitly-rejected-report/ceo-decision-memo.zh-CN.md,已下载并校验；原文/成员读取范围见补充报告
group-history-01,2026-07-29 16:23,om_x100b69afc80088bcb3c3b06ff473c00,[Invalid file JSON],,API条目已删除/无有效file key；未恢复；不推定内容
group-history-01,2026-07-29 16:33,om_x100b69afe3288cacc2369e2105d08f6,[Invalid file JSON],,API条目已删除/无有效file key；未恢复；不推定内容
group-history-01,2026-07-29 16:34,om_x100b69afe144d8a8c21afee052694db,Monako_Glass_面向舜宇光学_技术研发计划书重写版(2).docx,.local/reference/samples/monako/alternative-input/Monako_Glass_面向舜宇光学_技术研发计划书重写版(2).docx,已下载并校验；原文/成员读取范围见补充报告
group-history-01,2026-07-29 18:53,om_x100b69a9f4f798b4b2efd49a1a88024,Monako_01-05.zip,.local/reference/samples/monako/inputs/Monako_01-05.zip,已下载并校验；原文/成员读取范围见补充报告
group-history-01,2026-07-29 18:53,om_x100b69a9f4f7eca0b283c80281d6fb2,Monako+BP+2026V5_update.pdf,.local/reference/samples/monako/inputs/Monako+BP+2026V5_update.pdf,已下载并校验；原文/成员读取范围见补充报告
group-history-01,2026-07-29 18:53,om_x100b69a9f45490a4b15a262dd917692,Monako 投资立项决策报告.pdf,.local/reference/samples/monako/colleague-output/Monako 投资立项决策报告.pdf,已下载并校验；原文/成员读取范围见补充报告
group-history-01,2026-07-29 18:59,om_x100b69a981a038bcb2cb321a7e327a9,README.zh-CN.md,.local/reference/support/20260729-operation/README.zh-CN.md,已下载并校验；原文/成员读取范围见补充报告
group-history-01,2026-07-29 19:25,om_x100b69aa7c59e0a0b39ef9423bfb3b9,KTH-IRL-v0.1.4-产品运行与调度说明.md,.local/reference/support/20260729-operation/KTH-IRL-v0.1.4-产品运行与调度说明.md,已下载并校验；原文/成员读取范围见补充报告
group-history-01,2026-07-30 01:28,om_x100b6997cb47b8a0dd2dedfbdec6a13,Monako-投资立项决策报告.pdf,.local/reference/samples/monako/user-output/Monako-投资立项决策报告.pdf,已下载并校验；原文/成员读取范围见补充报告
group-history-01,2026-07-30 08:52,om_x100b699e4dd82ca0b213891a2d63705,baseline-registry.json,,两次下载均传输失败；未补造原件
group-history-01,2026-07-30 13:21,om_x100b6999bb03f0acb4840d58c939d9b,https://e0fwpv9vf0.feishu.cn/wiki/WYXXw6fzIiiNJAkYLRJcUzAmnxf?from=from_copylink,,其他群内背景链接；未读取正文，不作为KTH需求依据
group-history-01,2026-07-31 14:31,om_x100b69f05c2abca4b1491443291c44d,KTH-IRL-user-guide_A-1.pdf,.local/reference/support/20260731-method/KTH-IRL-user-guide_A-1.pdf,已下载并校验；原文/成员读取范围见补充报告
